mericarp_num,ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,width,depth,spine_length,tip_distance,spine_num,lower_spines
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.78,6.61,5.82,6.54,12.22,2,0
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.29,3.37,6.14,7.22,14.49,2,0
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.93,2.54,4.18,3.01,7.21,2,0
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.09,3.59,4.86,4.39,9.77,2,0
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.63,2.98,5.04,3.91,8.19,2,0
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,2.85,3.93,4.4,7.71,2,0
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.48,2.92,4.57,5.28,8.89,2,0
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.09,2.83,5.05,5.19,10.32,2,0
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.44,2.26,4.7,4.78,10.05,2,0
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.56,3.49,5.81,6.58,13.73,2,0
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.7,3.12,5.01,4.9,9.7,2,0
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.87,3.81,5.86,4.17,9.99,2,0
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.95,2.43,3.68,4.99,8.9,2,0
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.51,2.62,4.01,6.08,10.91,2,0
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.23,2.4,4.92,4.25,9.3,2,0
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.98,2.63,4.77,4.03,7.24,2,0
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.98,2.53,4.58,3.37,8.12,2,0
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,3.22,5.74,4.95,10.91,2,0
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.54,2.85,5.18,5.61,9.98,2,0
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.12,2.61,5.28,3.94,8.08,2,0
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,2.4,4.97,4.75,8.51,2,0
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.98,2.79,5.06,4.18,9.73,2,0
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.94,2.57,4.86,2.41,6.73,2,0
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.94,3.34,6.05,5.72,11.03,2,0
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.62,2.91,4.12,4.69,9,2,0
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.39,2.44,4.2,4.85,11.45,2,0
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.02,2.76,5.12,5,9.27,2,0
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.58,2.54,4.12,4.01,8.24,2,0
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6,2.89,5.17,6.3,12.56,2,0
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.35,3.42,3.41,3.74,8.1,2,0
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.34,2.78,4.43,5.25,9.35,2,0
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.83,4.09,5.77,5.13,10.57,2,0
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.39,3.43,6.67,5.27,10.91,2,0
